PCODE,Pname,DCODE,Dname,KCODE,Kname,Vil_Code,Vil_Name
2,Phongsali,207,BounTai,20701,Bountai,207001,Phou thong
2,Phongsali,207,BounTai,20701,Bountai,207002,Boun tay
2,Phongsali,207,BounTai,20701,Bountai,207003,Na wy
2,Phongsali,207,BounTai,20701,Bountai,207008,Sing say
2,Phongsali,207,BounTai,20701,Bountai,207025,Houai khong
2,Phongsali,207,BounTai,20701,Bountai,207026,Narm  larn noi
2,Phongsali,207,BounTai,20701,Bountai,207056,Phier lake
6,Louangphabang,603,Nan,60305,Thali,603018,B. fayyouak
6,Louangphabang,603,Nan,60305,Thali,603021,B. Phaneep
6,Louangphabang,605,Nambak,60502,Nagnang,605034,B. Pungjong
6,Louangphabang,605,Nambak,60502,Nagnang,605045,B. Houaykong
6,Louangphabang,605,Nambak,60502,Nagnang,605046,B. Vienghinsung
6,Louangphabang,605,Nambak,60502,Nagnang,605047,B. Namay
6,Louangphabang,605,Nambak,60502,Nagnang,605053,B. Houayheedloum
6,Louangphabang,605,Nambak,60502,Nagnang,605054,B. Nagnangnuea
6,Louangphabang,605,Nambak,60502,Nagnang,605056,B. Houayhar
6,Louangphabang,605,Nambak,60502,Nagnang,605057,B. Nagnangtay
6,Louangphabang,605,Nambak,60502,Nagnang,605058,B. Houayyan
6,Louangphabang,605,Nambak,60503,Xongcha,605040,B. Yalo
6,Louangphabang,605,Nambak,60503,Xongcha,605066,B. Markphouk
6,Louangphabang,605,Nambak,60503,Xongcha,605067,B. Xongjar
6,Louangphabang,605,Nambak,60503,Xongcha,605092,B. Phouker
6,Louangphabang,605,Nambak,60503,Xongcha,605093,B. Longjork
6,Louangphabang,605,Nambak,60503,Xongcha,605095,B. Kiewjaly
6,Louangphabang,605,Nambak,60503,Xongcha,605165,Lak 50
6,Louangphabang,605,Nambak,60507,Namdouan,605002,B. Phathong
6,Louangphabang,605,Nambak,60507,Namdouan,605012,B. Lankang
6,Louangphabang,605,Nambak,60507,Namdouan,605015,Bouam
6,Louangphabang,605,Nambak,60507,Namdouan,605021,B. kingkang
6,Louangphabang,605,Nambak,60507,Namdouan,605023,B. Parkkan
6,Louangphabang,605,Nambak,60507,Namdouan,605024,B. Kanloum
6,Louangphabang,605,Nambak,60507,Namdouan,605025,B. Kantheung
6,Louangphabang,605,Nambak,60507,Namdouan,605031,B. Douantay
6,Louangphabang,608,Phonxai,60802,Phonthong,608045,B. Viengjaleun
6,Louangphabang,608,Phonxai,60805,Sopchia,608012,B. Houaydong
6,Louangphabang,608,Phonxai,60805,Sopchia,608061,B. Houaychia
6,Louangphabang,608,Phonxai,60805,Sopchia,608064,B. Houaysiboua
6,Louangphabang,608,Phonxai,60805,Sopchia,608074,B. Sobchia
6,Louangphabang,608,Phonxai,60805,Sopchia,608075,B. Houameung
6,Louangphabang,608,Phonxai,60805,Sopchia,608092,B. Donxai
6,Louangphabang,608,Phonxai,60805,Sopchia,608105,B. Tardthong
6,Louangphabang,608,Phonxai,60807,Houaykhing,608053,B. Houaykhing
6,Louangphabang,608,Phonxai,60808,Donkham,608035,Done ngeun
6,Louangphabang,608,Phonxai,60808,Donkham,608037,B. Hadchong
6,Louangphabang,608,Phonxai,60808,Donkham,608039,B. Sobhout
6,Louangphabang,608,Phonxai,60808,Donkham,608040,B. Donekham
6,Louangphabang,608,Phonxai,60808,Donkham,608094,B. Pakvang
6,Louangphabang,608,Phonxai,60809,Chomchieng,608011,B. Naphieng
6,Louangphabang,608,Phonxai,60809,Chomchieng,608013,B. Chomchieng
6,Louangphabang,608,Phonxai,60809,Chomchieng,608038,B. Houaypha
6,Louangphabang,608,Phonxai,60809,Chomchieng,608063,B. Houayloungsoung
6,Louangphabang,608,Phonxai,60809,Chomchieng,608091,B. Heuadoeui
6,Louangphabang,608,Phonxai,60810,Neunsoung,608100,B. Kalongkong
6,Louangphabang,609,Chomphet,60901,Longnamtan,609023,B. Xam or
6,Louangphabang,609,Chomphet,60901,Longnamtan,609024,B. Na
6,Louangphabang,609,Chomphet,60901,Longnamtan,609032,B. Som
6,Louangphabang,609,Chomphet,60901,Longnamtan,609042,B. Phoulouangtai
6,Louangphabang,609,Chomphet,60901,Longnamtan,609093,B. Houayxaeng
6,Louangphabang,609,Chomphet,60902,Longnamlung,609006,B. Houayhak
6,Louangphabang,609,Chomphet,60902,Longnamlung,609010,B. Na ang
6,Louangphabang,609,Chomphet,60902,Longnamlung,609012,Pak houay khor
6,Louangphabang,609,Chomphet,60902,Longnamlung,609060,B. Pakleung
6,Louangphabang,609,Chomphet,60902,Longnamlung,609061,B. Nongphu
6,Louangphabang,609,Chomphet,60902,Longnamlung,609064,B. Donexai
6,Louangphabang,609,Chomphet,60902,Longnamlung,609066,B. Saleuam
6,Louangphabang,609,Chomphet,60902,Longnamlung,609096,B. Phoumieng
6,Louangphabang,609,Chomphet,60903,Longnamlum,609069,B. Nakhaeng
6,Louangphabang,609,Chomphet,60903,Longnamlum,609070,B. Houaykhanh
6,Louangphabang,609,Chomphet,60903,Longnamlum,609071,B. Nangiew
6,Louangphabang,609,Chomphet,60903,Longnamlum,609076,B. Nahai
6,Louangphabang,609,Chomphet,60904,Touamuang,609050,B. Nakham
6,Louangphabang,609,Chomphet,60904,Touamuang,609051,B. Xiengmain
6,Louangphabang,609,Chomphet,60904,Touamuang,609053,B. Thapho
6,Louangphabang,609,Chomphet,60904,Touamuang,609058,B. Channeua
6,Louangphabang,609,Chomphet,60904,Touamuang,609059,B. Chantai
6,Louangphabang,609,Chomphet,60904,Touamuang,609090,B. Natha
6,Louangphabang,609,Chomphet,60904,Touamuang,609092,Khoksavang
6,Louangphabang,609,Chomphet,60905,Thinhom,609036,Houaykhae
6,Louangphabang,609,Chomphet,60905,Thinhom,609038,B. Phonhong
6,Louangphabang,609,Chomphet,60905,Thinhom,609039,B. Nasang
6,Louangphabang,609,Chomphet,60905,Thinhom,609040,B. Houaygnor
6,Louangphabang,609,Chomphet,60905,Thinhom,609041,B. Mouangkeo
6,Louangphabang,609,Chomphet,60905,Thinhom,609043,B. Houaykor
6,Louangphabang,609,Chomphet,60905,Thinhom,609044,B. Thinhong
6,Louangphabang,609,Chomphet,60906,Kaengkhaen,609001,B. Kaenghang
6,Louangphabang,609,Chomphet,60906,Kaengkhaen,609007,B. Nangkang
6,Louangphabang,609,Chomphet,60906,Kaengkhaen,609009,B. Lae
6,Louangphabang,609,Chomphet,60906,Kaengkhaen,609015,B. Tone
6,Louangphabang,609,Chomphet,60906,Kaengkhaen,609017,B. Khoklouang
6,Louangphabang,609,Chomphet,60906,Kaengkhaen,609029,B. Longxieng
6,Louangphabang,609,Chomphet,60906,Kaengkhaen,609030,B. Kangkhan
6,Louangphabang,609,Chomphet,60906,Kaengkhaen,609097,B. Pakkon
6,Louangphabang,609,Chomphet,60907,Longnamchan,609014,B. Houaytham
6,Louangphabang,609,Chomphet,60907,Longnamchan,609019,B. Houaymiang
6,Louangphabang,609,Chomphet,60907,Longnamchan,609020,B. Chok
6,Louangphabang,609,Chomphet,60907,Longnamchan,609021,B. Keuab
6,Louangphabang,609,Chomphet,60907,Longnamchan,609022,B. Houay orn
6,Louangphabang,609,Chomphet,60907,Longnamchan,609026,B. Houaymath
6,Louangphabang,609,Chomphet,60907,Longnamchan,609055,B. Bouamlao
6,Louangphabang,609,Chomphet,60907,Longnamchan,609056,B. Bouamxieng
6,Louangphabang,609,Chomphet,60908,Xong-tai,609067,B. Pakleun
6,Louangphabang,609,Chomphet,60908,Xong-tai,609068,B. Nakeua
6,Louangphabang,609,Chomphet,60908,Xong-tai,609074,B. Xongtai
6,Louangphabang,609,Chomphet,60908,Xong-tai,609075,B. Houaytao
6,Louangphabang,609,Chomphet,60908,Xong-tai,609077,Poulouangtai
6,Louangphabang,609,Chomphet,60908,Xong-tai,609081,B. Houaykatay
6,Louangphabang,609,Chomphet,60909,Songnamhang,609078,B. Phoupord
6,Louangphabang,609,Chomphet,60909,Songnamhang,609080,B. Vangsa
6,Louangphabang,609,Chomphet,60909,Songnamhang,609083,B. Vangmouang
6,Louangphabang,609,Chomphet,60909,Songnamhang,609085,B. Namhang
6,Louangphabang,609,Chomphet,60910,Naxaichaleun,609031,B. Houaytanh
6,Louangphabang,609,Chomphet,60910,Naxaichaleun,609046,B. Sanok
6,Louangphabang,609,Chomphet,60910,Naxaichaleun,609047,B. Mouangkham
6,Louangphabang,609,Chomphet,60910,Naxaichaleun,609049,B. Naxaichaleun
6,Louangphabang,609,Chomphet,60910,Naxaichaleun,609098,B. Houypong
6,Louangphabang,609,Chomphet,60911,Houayxaykhao,609082,Houaysae
6,Louangphabang,609,Chomphet,60911,Houayxaykhao,609087,B. Houayxaykhao
6,Louangphabang,609,Chomphet,60911,Houayxaykhao,609094,Samphanxai
6,Louangphabang,609,Chomphet,60911,Houayxaykhao,609095,B. Kiewthang
6,Louangphabang,609,Chomphet,60911,Houayxaykhao,609099,B. Tardlae
6,Louangphabang,609,Chomphet,60911,Houayxaykhao,609999,
6,Louangphabang,611,Phoukhoun,61102,Phouvieng,611058,B. Namchao
6,Louangphabang,611,Phoukhoun,61106,Thabokeo,611024,B. Nakeun
6,Louangphabang,611,Phoukhoun,61106,Thabokeo,611055,B. Viengsamai
6,Louangphabang,612,Phonthong,61205,Muanghup,612001,B. Vungxieng
6,Louangphabang,612,Phonthong,61205,Muanghup,612003,B. Done
6,Louangphabang,612,Phonthong,61205,Muanghup,612004,B. Kang
6,Louangphabang,612,Phonthong,61205,Muanghup,612007,B. Vungpan
6,Louangphabang,612,Phonthong,61205,Muanghup,612010,B. Namai
6,Louangphabang,612,Phonthong,61205,Muanghup,612011,B. Nasone
6,Louangphabang,612,Phonthong,61205,Muanghup,612023,B. Phouyee
6,Louangphabang,612,Phonthong,61205,Muanghup,612029,B. Sammeun
6,Louangphabang,612,Phonthong,61205,Muanghup,612031,Khampom
6,Louangphabang,612,Phonthong,61205,Muanghup,612998,B. Houngsy
6,Louangphabang,612,Phonthong,61205,Muanghup,612999,B. kuexsang
7,Houaphan,701,Xam-nua,70101,Phanxai,701040,B. Hindum
7,Houaphan,701,Xam-nua,70101,Phanxai,701150,B. Nasakang
7,Houaphan,701,Xam-nua,70103,Kan,701137,B. Phoung
7,Houaphan,701,Xam-nua,70103,Kan,701138,B. Kanh
7,Houaphan,701,Xam-nua,70103,Kan,701142,B. Kaytay+Kaynuea
7,Houaphan,701,Xam-nua,70107,Phapat,701038,B. Phoulone+Phahin
7,Houaphan,703,Viengthong,70304,Bouamphat,703055,Namneun
7,Houaphan,703,Viengthong,70304,Bouamphat,703060,Bouamfat
7,Houaphan,703,Viengthong,70304,Bouamphat,703061,Phonxong
7,Houaphan,703,Viengthong,70304,Bouamphat,703087,Longngouapa
7,Houaphan,703,Viengthong,70304,Bouamphat,703096,Houaytun
7,Houaphan,704,Viengxai,70401,Thetsaban,704002,B. Phousay
7,Houaphan,704,Viengxai,70414,Xienglong,704074,B. Phonesay
7,Houaphan,704,Viengxai,70414,Xienglong,704076,B. Namueang
7,Houaphan,704,Viengxai,70414,Xienglong,704077,B. Siengsue
7,Houaphan,707,Sopbao,70701,Sophao,707005,B. Phonhxai
7,Houaphan,707,Sopbao,70701,Sophao,707007,B. Huoitong
7,Houaphan,707,Sopbao,70701,Sophao,707008,B. Namhang
7,Houaphan,708,Et,70808,Chaefay,708054,B. Nongsay
7,Houaphan,708,Et,70808,Chaefay,708055,B. Phatherb
7,Houaphan,708,Et,70808,Chaefay,708057,B. Chaephai
7,Houaphan,708,Et,70808,Chaefay,708058,B. Namath
7,Houaphan,708,Et,70808,Chaefay,708059,B. Nakueanuea
7,Houaphan,708,Et,70808,Chaefay,708064,Keokou
7,Houaphan,708,Et,70808,Chaefay,708065,B. Keoku
7,Houaphan,708,Et,70808,Chaefay,708068,B. Hinkoon
7,Houaphan,708,Et,70808,Chaefay,708090,B. Bouampho
7,Houaphan,708,Et,70808,Chaefay,708998,Pakha
9,Xiengkhouang,901,Pek,90101,Yoht Ngeum,901001,B. Mouengnoy
9,Xiengkhouang,901,Pek,90101,Yoht Ngeum,901002,B. Xouan
9,Xiengkhouang,901,Pek,90101,Yoht Ngeum,901003,B. Or anh
9,Xiengkhouang,901,Pek,90101,Yoht Ngeum,901004,B. Bokkop
9,Xiengkhouang,901,Pek,90101,Yoht Ngeum,901011,B. Ta
9,Xiengkhouang,901,Pek,90101,Yoht Ngeum,901100,B. Phousanh
9,Xiengkhouang,902,Kham,90210,Nam Lieng,902067,B. Summan
9,Xiengkhouang,902,Kham,90210,Nam Lieng,902068,B. Song
9,Xiengkhouang,902,Kham,90210,Nam Lieng,902070,B. Vieng
9,Xiengkhouang,902,Kham,90210,Nam Lieng,902072,B. Houaihone
9,Xiengkhouang,902,Kham,90210,Nam Lieng,902073,B. Sunpan
9,Xiengkhouang,902,Kham,90210,Nam Lieng,902116,B. Phouhin
9,Xiengkhouang,904,Khoun,90402,Sanlouang,904039,B. Phoukapha
9,Xiengkhouang,904,Khoun,90402,Sanlouang,904040,B. Keokaung
9,Xiengkhouang,904,Khoun,90402,Sanlouang,904041,B. Sunlouang
9,Xiengkhouang,904,Khoun,90402,Sanlouang,904042,B. Nong
9,Xiengkhouang,904,Khoun,90402,Sanlouang,904995,Phapheung
9,Xiengkhouang,906,Phoukout,90602,Kheung - Longhang,906010,B. Vungtong
9,Xiengkhouang,906,Phoukout,90602,Kheung - Longhang,906011,B. Longhung
9,Xiengkhouang,906,Phoukout,90602,Kheung - Longhang,906012,B. Miang
9,Xiengkhouang,906,Phoukout,90602,Kheung - Longhang,906013,B. Bongmuck
9,Xiengkhouang,906,Phoukout,90602,Kheung - Longhang,906029,B. Phand
9,Xiengkhouang,906,Phoukout,90602,Kheung - Longhang,906030,B. Keuk
9,Xiengkhouang,906,Phoukout,90602,Kheung - Longhang,906033,B. Langchong
9,Xiengkhouang,906,Phoukout,90603,Thay - Longkhan,906001,B. Longkao
9,Xiengkhouang,906,Phoukout,90603,Thay - Longkhan,906002,B. Longckanh
9,Xiengkhouang,906,Phoukout,90603,Thay - Longkhan,906003,B. Mouangckam
9,Xiengkhouang,906,Phoukout,90603,Thay - Longkhan,906004,B. Nhordphere
9,Xiengkhouang,906,Phoukout,90603,Thay - Longkhan,906005,B. Lerethong
9,Xiengkhouang,906,Phoukout,90603,Thay - Longkhan,906006,B. Yai
9,Xiengkhouang,906,Phoukout,90603,Thay - Longkhan,906007,B. Choiy
9,Xiengkhouang,906,Phoukout,90603,Thay - Longkhan,906008,B. Misay
9,Xiengkhouang,906,Phoukout,90603,Thay - Longkhan,906009,B. Bong
9,Xiengkhouang,906,Phoukout,90603,Thay - Longkhan,906038,B. Naka
9,Xiengkhouang,906,Phoukout,90604,Ang,906016,B. Phouvieng
9,Xiengkhouang,906,Phoukout,90604,Ang,906017,B. Sai
9,Xiengkhouang,906,Phoukout,90604,Ang,906018,B. aung
9,Xiengkhouang,906,Phoukout,90604,Ang,906019,B. Song
9,Xiengkhouang,906,Phoukout,90604,Ang,906032,B. Phienglouang
9,Xiengkhouang,906,Phoukout,90604,Ang,906034,B. Phoua
9,Xiengkhouang,906,Phoukout,90604,Ang,906039,B. Phouseo
9,Xiengkhouang,907,Phaxai,90704,Namsiam,907041,B. Chanam
9,Xiengkhouang,907,Phaxai,90704,Namsiam,907049,B. Nasay
9,Xiengkhouang,907,Phaxai,90704,Namsiam,907051,B. Namsiem
9,Xiengkhouang,907,Phaxai,90704,Namsiam,907052,B. Tumtamlueng
9,Xiengkhouang,907,Phaxai,90704,Namsiam,907053,B. Namsear
9,Xiengkhouang,907,Phaxai,90704,Namsiam,907054,B. Napan
11,Bolikhamsai,1105,Khamkerd,110506,Khammouan,1105116,B. Don xath
11,Bolikhamsai,1105,Khamkerd,110506,Khammouan,1105117,B. Sob phuan
11,Bolikhamsai,1105,Khamkerd,110506,Khammouan,1105119,B. Phonhthong
11,Bolikhamsai,1105,Khamkerd,110507,Phontan,1105077,B. Kouanchanh
11,Bolikhamsai,1105,Khamkerd,110507,Phontan,1105160,B. Thasala
13,Savannakhet,1309,Champhon,130903,Laosouliya,1309091,B. Tuad tai
13,Savannakhet,1309,Champhon,130906,Laosouliya,1309112,B. Phai
13,Savannakhet,1309,Champhon,130913,Laosouliya,1309013,B. Rao sou ly nhar
14,Salavan,1407,Laongam,140706,Nongkae,1407027,B. Nongkae
14,Salavan,1407,Laongam,140706,Nongkae,1407044,Dongtong-noy
14,Salavan,1407,Laongam,140706,Nongkae,1407045,B. Savang
14,Salavan,1407,Laongam,140706,Nongkae,1407046,B. Nongtoua
15,Xekong,1501,Lamam,150104,GaxangGhang,1501015,B. Touydane
15,Xekong,1501,Lamam,150104,GaxangGhang,1501016,B. Kasangkang
15,Xekong,1501,Lamam,150104,GaxangGhang,1501017,B. Pa or
15,Xekong,1501,Lamam,150104,GaxangGhang,1501043,B. Vatxang
15,Xekong,1501,Lamam,150104,GaxangGhang,1501044,B. Namthiengmai
17,Attapeu,1702,Samakhixai,170202,Hom,1702018,Champhao
17,Attapeu,1702,Samakhixai,170202,Hom,1702019,Kamesung
17,Attapeu,1702,Samakhixai,170202,Hom,1702020,Somsanook
17,Attapeu,1702,Samakhixai,170202,Hom,1702021,Sisomphone
